Year,ACM GIS - Sub,ACM GIS - Acc,ACM GIS - Rate,CIKM - Sub,CIKM - Acc,CIKM - Rate,EDBT - Sub,EDBT - Acc,EDBT - Rate,ER - Sub,ER - Acc,ER - Rate,ICDE - Sub,ICDE - Acc,ICDE - Rate,ICDT - Sub,ICDT - Acc,ICDT - Rate,PODS - Sub,PODS - Acc,PODS - Rate,SIGMOD - Sub,SIGMOD - Acc,SIGMOD - Rate,SSTD - Sub,SSTD - Acc,SSTD- Rate,VLDB - Sub,VLDB - Acc,VLDB - Rate
1989,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,
1993,,,,,,,,,,87,40,46,286,72,25,,,,115,26,23,235,39,17,70,26,37,311,54,17
1994,,,,,,,180,31,17,,,,270,50,19,,,,117,28,24,279,40,14,,,,293,54,18
1995,,,,224,51,23,,,,120,36,30,233,56,24,116,29,25,94,25,27,208,36,17,60,23,38,297,52,18
1996,,,,99,35,35,178,31,17,110,29,26,264,60,23,,,,84,22,26,290,47,16,,,,340,48,14
1997,,,,,,,,,,93,30,32,240,45,19,119,29,24,118,23,19,202,42,21,55,18,33,335,51,15
1998,,,,210,53,25,191,32,17,95,33,35,252,56,22,,,,119,28,24,246,42,17,,,,327,52,16
1999,,,,172,69,40,,,,143,33,23,272,42,15,89,26,29,116,32,28,205,42,20,55,17,31,390,57,15
2000-01-01,70,30,43,179,66,37,187,30,16,140,37,26,287,41,14,,,,119,26,22,248,42,17,,,,351,53,15
2001-01-01,93,29,31,259,66,25,,,,182,39,21,300,50,17,75,26,35,99,26,26,293,44,15,70,25,36,339,59,17
2002-01-01,81,28,35,300,75,25,207,36,17,127,30,24,287,54,19,,,,109,24,22,240,42,18,,,,468,84,18
2003-01-01,82,22,27,378,59,16,,,,153,38,25,378,51,13,91,26,29,136,27,20,342,53,15,105,28,27,457,84,18
2004,90,30,33,303,59,19,294,42,14,295,57,19,441,63,14,,,,183,30,16,431,69,16,,,,504,98,19
2005,85,31,36,425,76,18,,,,169,31,18,521,67,13,84,24,29,157,32,20,431,65,15,77,24,31,517,85,16
2006,99,31,31,537,81,15,352,60,17,158,37,23,460,89,19,,,,185,35,19,446,58,13,,,,626,83,13
2007,129,37,29,512,86,17,,,,167,37,22,659,122,19,108,25,23,187,28,15,480,70,15,76,26,34,538,91,17
2008,193,38,20,776,132,17,311,52,17,178,33,19,617,75,12,,,,159,28,18,435,78,18,,,,567,95,17
2009,185,38,21,847,123,15,283,92,33,162,31,19,545,93,17,77,25,32,97,26,27,430,63,15,62,20,32,562,97,18
2010,172,36,21,945,126,13,307,54,18,147,30,20,523,69,13,55,20,36,113,27,24,384,80,21,,,,,,
2011,160,35,22,918,134,15,148,41,28,157,25,16,491,98,20,54,22,41,113,25,22,375,87,23,64,24,38,560,,
2012-01-01,206,35,17,1088,146,13,193,43,22,141,24,17,413,100,24,60,22,37,101,26,26,289,48,17,,,,659,134,20
2013-01-01,202,39,19,848,143,17,235,48,20,126,23,18,443,95,21,57,22,39,97,24,25,372,76,20,58,24,41,559,127,23
2014-01-01,171,39,23,838,175,21,266,52,20,80,23,29,446,89,20,60,22,37,67,22,33,421,107,25,,,,,,
2015-01-01,212,38,18,646,165,26,184,47,26,131,26,20,409,103,25,50,22,44,80,25,31,415,106,26,64,24,38,710,151,21
2016-01-01,195,33,17,701,160,23,137,38,28,89,23,26,395,99,25,41,19,46,94,31,33,489,96,19,,,,,,
2017-01-01,,,,855,171,20,168,37,22,153,28,18,356,63,18,44,19,43,101,29,29,569,116,20,58,19,33,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
